,applystudent2,school2,applystudent1,datetime,school1
105,21,양지고,20,2020-04-08 21:33:50.450341,다정고
106,21,양지고,20,2020-04-08 21:33:55.734773,다정고
107,21,양지고,20,2020-04-08 21:34:01.020935,다정고
108,21,양지고,20,2020-04-08 21:34:06.307672,다정고
109,21,양지고,20,2020-04-08 21:34:11.609286,다정고
110,21,양지고,20,2020-04-08 21:34:16.909470,다정고
111,21,양지고,20,2020-04-08 21:34:22.201526,다정고
112,21,양지고,20,2020-04-08 21:34:27.486955,다정고
113,21,양지고,20,2020-04-08 21:34:32.872539,다정고
114,21,양지고,20,2020-04-08 21:34:38.366961,다정고
115,21,양지고,20,2020-04-08 21:34:43.661846,다정고
116,21,양지고,20,2020-04-08 21:34:48.963419,다정고
117,21,양지고,20,2020-04-08 21:34:54.283638,다정고
118,21,양지고,20,2020-04-08 21:34:59.697479,다정고
119,21,양지고,20,2020-04-08 21:35:05.004932,다정고
120,21,양지고,20,2020-04-08 21:35:10.287269,다정고
121,21,양지고,20,2020-04-08 21:35:15.582113,다정고
122,21,양지고,20,2020-04-08 21:35:21.076695,다정고
123,21,양지고,20,2020-04-08 21:35:26.528441,다정고
124,21,양지고,20,2020-04-08 21:35:31.822398,다정고
125,21,양지고,20,2020-04-08 21:35:37.109767,다정고
126,21,양지고,20,2020-04-08 21:35:42.463644,다정고
127,21,양지고,20,2020-04-08 21:35:47.798140,다정고
128,21,양지고,20,2020-04-08 21:35:53.141670,다정고
129,21,양지고,20,2020-04-08 21:35:58.603502,다정고
130,21,양지고,20,2020-04-08 21:36:03.954157,다정고
131,21,양지고,20,2020-04-08 21:36:09.308630,다정고
132,21,양지고,20,2020-04-08 21:36:14.627681,다정고
133,21,양지고,20,2020-04-08 21:36:19.948734,다정고
134,21,양지고,20,2020-04-08 21:36:25.261921,다정고
135,21,양지고,20,2020-04-08 21:36:30.559878,다정고
136,21,양지고,20,2020-04-08 21:36:35.853729,다정고
137,21,양지고,20,2020-04-08 21:36:41.208213,다정고
138,21,양지고,20,2020-04-08 21:36:46.505455,다정고
139,21,양지고,20,2020-04-08 21:36:51.802979,다정고
140,21,양지고,20,2020-04-08 21:36:57.113160,다정고
141,21,양지고,20,2020-04-08 21:37:02.397051,다정고
142,21,양지고,20,2020-04-08 21:37:07.681545,다정고
143,21,양지고,20,2020-04-08 21:37:12.964333,다정고
144,21,양지고,20,2020-04-08 21:37:18.264524,다정고
145,21,양지고,20,2020-04-08 21:37:23.541132,다정고
146,21,양지고,20,2020-04-08 21:37:28.823012,다정고
147,21,양지고,20,2020-04-08 21:37:34.119481,다정고
148,21,양지고,20,2020-04-08 21:37:39.408662,다정고
149,21,양지고,20,2020-04-08 21:37:44.878273,다정고
150,21,양지고,20,2020-04-08 21:37:50.240245,다정고
151,21,양지고,20,2020-04-08 21:37:55.570348,다정고
152,21,양지고,20,2020-04-08 21:38:00.988549,다정고
153,21,양지고,20,2020-04-08 21:38:06.481557,다정고
154,21,양지고,20,2020-04-08 21:38:11.848292,다정고
155,21,양지고,20,2020-04-08 21:38:17.188416,다정고
156,21,양지고,20,2020-04-08 21:38:22.503422,다정고
157,21,양지고,20,2020-04-08 21:38:27.909431,다정고
158,21,양지고,20,2020-04-08 21:38:33.221192,다정고
159,21,양지고,20,2020-04-08 21:38:38.525215,다정고
160,21,양지고,20,2020-04-08 21:38:43.825963,다정고
161,21,양지고,20,2020-04-08 21:38:49.137384,다정고
162,21,양지고,20,2020-04-08 21:38:54.460264,다정고
163,21,양지고,20,2020-04-08 21:38:59.800417,다정고
164,21,양지고,20,2020-04-08 21:39:05.119659,다정고
165,21,양지고,20,2020-04-08 21:39:10.428549,다정고
166,21,양지고,20,2020-04-08 21:39:16.105411,다정고
167,21,양지고,20,2020-04-08 21:39:22.003838,다정고
168,21,양지고,20,2020-04-08 21:39:29.604059,다정고
169,21,양지고,20,2020-04-08 21:39:37.860567,다정고
170,21,양지고,20,2020-04-08 21:39:43.263143,다정고
171,21,양지고,20,2020-04-08 21:39:50.547438,다정고
172,21,양지고,20,2020-04-08 21:39:56.870255,다정고
173,21,양지고,20,2020-04-08 21:40:05.082487,다정고
174,21,양지고,20,2020-04-08 21:40:10.593640,다정고
175,21,양지고,20,2020-04-08 21:40:15.932111,다정고
176,21,양지고,20,2020-04-08 21:40:23.780153,다정고
177,21,양지고,20,2020-04-08 21:40:32.601619,다정고
178,21,양지고,20,2020-04-08 21:40:40.014273,다정고
179,21,양지고,20,2020-04-08 21:40:45.459462,다정고
180,21,양지고,20,2020-04-08 21:40:50.860403,다정고
181,21,양지고,20,2020-04-08 21:40:56.589699,다정고
182,21,양지고,20,2020-04-08 21:41:01.964393,다정고
183,21,양지고,20,2020-04-08 21:41:07.228803,다정고
184,21,양지고,20,2020-04-08 21:41:12.503692,다정고
185,21,양지고,20,2020-04-08 21:41:17.781629,다정고
186,21,양지고,20,2020-04-08 21:41:23.050852,다정고
187,21,양지고,20,2020-04-08 21:41:28.900062,다정고
188,21,양지고,20,2020-04-08 21:41:34.502693,다정고
189,21,양지고,20,2020-04-08 21:41:39.826268,다정고
190,21,양지고,20,2020-04-08 21:41:45.181441,다정고
191,21,양지고,20,2020-04-08 21:41:50.495003,다정고
