,applystudent2,school1,datetime,applystudent1,school2
0,21,다정고,2020-04-08 11:57:04.710791,20,양지고
1,21,다정고,2020-04-08 11:57:10.076479,20,양지고
2,21,다정고,2020-04-08 11:57:15.499592,20,양지고
3,21,다정고,2020-04-08 11:57:20.813691,20,양지고
4,21,다정고,2020-04-08 11:57:26.134931,20,양지고
5,21,다정고,2020-04-08 11:57:32.035289,20,양지고
6,21,다정고,2020-04-08 11:57:37.347984,20,양지고
7,21,다정고,2020-04-08 11:57:42.743993,20,양지고
8,21,다정고,2020-04-08 11:57:48.024058,20,양지고
9,21,다정고,2020-04-08 11:57:53.277934,20,양지고
10,21,다정고,2020-04-08 11:57:58.531693,20,양지고
11,21,다정고,2020-04-08 11:58:03.765436,20,양지고
12,21,다정고,2020-04-08 11:58:09.026490,20,양지고
13,21,다정고,2020-04-08 11:58:14.378599,20,양지고
14,21,다정고,2020-04-08 11:58:19.620454,20,양지고
15,21,다정고,2020-04-08 11:58:24.867098,20,양지고
16,21,다정고,2020-04-08 11:58:30.184452,20,양지고
17,21,다정고,2020-04-08 11:58:35.472876,20,양지고
18,21,다정고,2020-04-08 11:58:40.727828,20,양지고
19,21,다정고,2020-04-08 11:58:46.088046,20,양지고
20,21,다정고,2020-04-08 11:58:51.339685,20,양지고
21,21,다정고,2020-04-08 11:58:56.573789,20,양지고
22,21,다정고,2020-04-08 11:59:01.833243,20,양지고
23,21,다정고,2020-04-08 11:59:07.135875,20,양지고
24,21,다정고,2020-04-08 11:59:12.487089,20,양지고
25,21,다정고,2020-04-08 11:59:17.753850,20,양지고
26,21,다정고,2020-04-08 11:59:23.096799,20,양지고
27,21,다정고,2020-04-08 11:59:28.395409,20,양지고
28,21,다정고,2020-04-08 11:59:34.388318,20,양지고
29,21,다정고,2020-04-08 11:59:39.687090,20,양지고
30,21,다정고,2020-04-08 11:59:45.000052,20,양지고
31,21,다정고,2020-04-08 11:59:50.286816,20,양지고
32,21,다정고,2020-04-08 11:59:55.594493,20,양지고
33,21,다정고,2020-04-08 12:00:01.411649,20,양지고
34,21,다정고,2020-04-08 12:00:06.699273,20,양지고
35,21,다정고,2020-04-08 12:00:11.984251,20,양지고
36,21,다정고,2020-04-08 12:00:17.380059,20,양지고
37,21,다정고,2020-04-08 12:00:22.686690,20,양지고
38,21,다정고,2020-04-08 12:00:28.109859,20,양지고
39,21,다정고,2020-04-08 12:00:33.422518,20,양지고
40,21,다정고,2020-04-08 12:00:38.769182,20,양지고
41,21,다정고,2020-04-08 12:00:44.123737,20,양지고
42,21,다정고,2020-04-08 12:00:51.414887,20,양지고
43,21,다정고,2020-04-08 12:00:59.189971,20,양지고
44,21,다정고,2020-04-08 12:01:05.424684,20,양지고
45,21,다정고,2020-04-08 12:01:11.412710,20,양지고
46,21,다정고,2020-04-08 12:01:17.415682,20,양지고
47,21,다정고,2020-04-08 12:01:22.710031,20,양지고
48,21,다정고,2020-04-08 12:01:28.043711,20,양지고
49,21,다정고,2020-04-08 12:01:33.370825,20,양지고
50,21,다정고,2020-04-08 12:01:38.698828,20,양지고
51,21,다정고,2020-04-08 12:01:44.037330,20,양지고
52,21,다정고,2020-04-08 12:01:49.666676,20,양지고
53,21,다정고,2020-04-08 12:01:55.423122,20,양지고
54,21,다정고,2020-04-08 12:02:01.389779,20,양지고
55,21,다정고,2020-04-08 12:02:06.681899,20,양지고
56,21,다정고,2020-04-08 12:02:12.110995,20,양지고
57,21,다정고,2020-04-08 12:02:17.569268,20,양지고
58,21,다정고,2020-04-08 12:02:22.870908,20,양지고
59,21,다정고,2020-04-08 12:02:28.190576,20,양지고
60,21,다정고,2020-04-08 12:02:33.484092,20,양지고
61,21,다정고,2020-04-08 12:02:38.767050,20,양지고
62,21,다정고,2020-04-08 12:02:44.079365,20,양지고
63,21,다정고,2020-04-08 12:02:49.376272,20,양지고
64,21,다정고,2020-04-08 12:02:55.240178,20,양지고
65,21,다정고,2020-04-08 12:03:00.868067,20,양지고
66,21,다정고,2020-04-08 12:03:06.217141,20,양지고
67,21,다정고,2020-04-08 12:03:11.544201,20,양지고
68,21,다정고,2020-04-08 12:03:20.731135,20,양지고
69,21,다정고,2020-04-08 12:03:29.545422,20,양지고
70,21,다정고,2020-04-08 12:03:34.822345,20,양지고
71,21,다정고,2020-04-08 12:03:40.268279,20,양지고
72,21,다정고,2020-04-08 12:03:45.553797,20,양지고
73,21,다정고,2020-04-08 12:03:51.044010,20,양지고
74,21,다정고,2020-04-08 12:03:56.672723,20,양지고
75,21,다정고,2020-04-08 12:04:01.973373,20,양지고
76,21,다정고,2020-04-08 12:04:08.188762,20,양지고
77,21,다정고,2020-04-08 12:04:13.477222,20,양지고
78,21,다정고,2020-04-08 12:04:18.783207,20,양지고
79,21,다정고,2020-04-08 12:04:24.419906,20,양지고
80,21,다정고,2020-04-08 12:04:29.704345,20,양지고
81,21,다정고,2020-04-08 12:04:35.392843,20,양지고
82,21,다정고,2020-04-08 12:04:40.674461,20,양지고
83,21,다정고,2020-04-08 12:04:45.948135,20,양지고
84,21,다정고,2020-04-08 12:04:51.247053,20,양지고
85,21,다정고,2020-04-08 12:04:56.544156,20,양지고
86,21,다정고,2020-04-08 12:05:01.833481,20,양지고
87,21,다정고,2020-04-08 12:05:07.128632,20,양지고
88,21,다정고,2020-04-08 12:05:13.402361,20,양지고
89,21,다정고,2020-04-08 12:05:18.992066,20,양지고
90,21,다정고,2020-04-08 12:05:24.314702,20,양지고
91,21,다정고,2020-04-08 12:05:30.190035,20,양지고
92,21,다정고,2020-04-08 12:05:35.467800,20,양지고
93,21,다정고,2020-04-08 12:05:40.755578,20,양지고
94,21,다정고,2020-04-08 12:05:46.045819,20,양지고
95,21,다정고,2020-04-08 12:05:51.335979,20,양지고
96,21,다정고,2020-04-08 12:05:56.641675,20,양지고
97,21,다정고,2020-04-08 12:06:01.916039,20,양지고
98,21,다정고,2020-04-08 12:06:07.190617,20,양지고
99,21,다정고,2020-04-08 12:06:13.422606,20,양지고
100,21,다정고,2020-04-08 12:06:18.703645,20,양지고
101,21,다정고,2020-04-08 12:06:23.990423,20,양지고
102,21,다정고,2020-04-08 12:06:30.421543,20,양지고
103,21,다정고,2020-04-08 12:06:36.419381,20,양지고
104,21,다정고,2020-04-08 12:06:41.705163,20,양지고
105,21,다정고,2020-04-08 12:06:46.999064,20,양지고
106,21,다정고,2020-04-08 12:06:52.424437,20,양지고
107,21,다정고,2020-04-08 12:06:57.857530,20,양지고
108,21,다정고,2020-04-08 12:07:03.237393,20,양지고
109,21,다정고,2020-04-08 12:07:09.237969,20,양지고
110,21,다정고,2020-04-08 12:07:14.553191,20,양지고
111,21,다정고,2020-04-08 12:07:19.837777,20,양지고
112,21,다정고,2020-04-08 12:07:25.491847,20,양지고
113,21,다정고,2020-04-08 12:07:31.381844,20,양지고
114,21,다정고,2020-04-08 12:07:36.684484,20,양지고
115,21,다정고,2020-04-08 12:07:42.014182,20,양지고
116,21,다정고,2020-04-08 12:07:47.284901,20,양지고
117,21,다정고,2020-04-08 12:07:52.596055,20,양지고
118,21,다정고,2020-04-08 12:07:57.906372,20,양지고
119,21,다정고,2020-04-08 12:08:03.247261,20,양지고
120,21,다정고,2020-04-08 12:08:08.565755,20,양지고
121,21,다정고,2020-04-08 12:08:13.850774,20,양지고
122,21,다정고,2020-04-08 12:08:19.134876,20,양지고
123,21,다정고,2020-04-08 12:08:25.136840,20,양지고
124,21,다정고,2020-04-08 12:08:30.431353,20,양지고
125,21,다정고,2020-04-08 12:08:36.515810,20,양지고
126,21,다정고,2020-04-08 12:08:43.392262,20,양지고
127,21,다정고,2020-04-08 12:08:49.406618,20,양지고
128,21,다정고,2020-04-08 12:08:54.684401,20,양지고
129,21,다정고,2020-04-08 12:08:59.971769,20,양지고
130,21,다정고,2020-04-08 12:09:05.258115,20,양지고
131,21,다정고,2020-04-08 12:09:10.552161,20,양지고
132,21,다정고,2020-04-08 12:09:15.840954,20,양지고
133,21,다정고,2020-04-08 12:09:21.440492,20,양지고
134,21,다정고,2020-04-08 12:09:26.724523,20,양지고
135,21,다정고,2020-04-08 12:09:32.024209,20,양지고
136,21,다정고,2020-04-08 12:09:37.310599,20,양지고
137,21,다정고,2020-04-08 12:09:42.605757,20,양지고
138,21,다정고,2020-04-08 12:09:47.890711,20,양지고
139,21,다정고,2020-04-08 12:09:53.611013,20,양지고
140,21,다정고,2020-04-08 12:09:58.952613,20,양지고
141,21,다정고,2020-04-08 12:10:04.239204,20,양지고
142,21,다정고,2020-04-08 12:10:09.522997,20,양지고
143,21,다정고,2020-04-08 12:10:14.812750,20,양지고
144,21,다정고,2020-04-08 12:10:21.395582,20,양지고
145,21,다정고,2020-04-08 12:10:26.698899,20,양지고
146,21,다정고,2020-04-08 12:10:32.383894,20,양지고
147,21,다정고,2020-04-08 12:10:37.869253,20,양지고
148,21,다정고,2020-04-08 12:10:43.158175,20,양지고
149,21,다정고,2020-04-08 12:10:48.449331,20,양지고
150,21,다정고,2020-04-08 12:10:53.741068,20,양지고
151,21,다정고,2020-04-08 12:10:59.154503,20,양지고
152,21,다정고,2020-04-08 12:11:04.500879,20,양지고
153,21,다정고,2020-04-08 12:11:09.788309,20,양지고
154,21,다정고,2020-04-08 12:11:16.389435,20,양지고
155,21,다정고,2020-04-08 12:11:21.674033,20,양지고
156,21,다정고,2020-04-08 12:11:28.424232,20,양지고
157,21,다정고,2020-04-08 12:11:34.956586,20,양지고
158,21,다정고,2020-04-08 12:11:40.412436,20,양지고
159,21,다정고,2020-04-08 12:11:45.687246,20,양지고
160,21,다정고,2020-04-08 12:11:50.975481,20,양지고
161,21,다정고,2020-04-08 12:11:57.230779,20,양지고
162,21,다정고,2020-04-08 12:12:02.515072,20,양지고
163,21,다정고,2020-04-08 12:12:07.805041,20,양지고
164,21,다정고,2020-04-08 12:12:13.105785,20,양지고
165,21,다정고,2020-04-08 12:12:18.390066,20,양지고
166,21,다정고,2020-04-08 12:12:25.389433,20,양지고
167,21,다정고,2020-04-08 12:12:30.685727,20,양지고
168,21,다정고,2020-04-08 12:12:35.962222,20,양지고
169,21,다정고,2020-04-08 12:12:41.252304,20,양지고
170,21,다정고,2020-04-08 12:12:46.525899,20,양지고
171,21,다정고,2020-04-08 12:12:52.185680,20,양지고
172,21,다정고,2020-04-08 12:12:57.476379,20,양지고
173,21,다정고,2020-04-08 12:13:02.763717,20,양지고
174,21,다정고,2020-04-08 12:13:08.034522,20,양지고
175,21,다정고,2020-04-08 12:13:13.331150,20,양지고
176,21,다정고,2020-04-08 12:13:18.614571,20,양지고
177,21,다정고,2020-04-08 12:13:23.947195,20,양지고
178,21,다정고,2020-04-08 12:13:29.230964,20,양지고
179,21,다정고,2020-04-08 12:13:34.518145,20,양지고
180,21,다정고,2020-04-08 12:13:39.810890,20,양지고
181,21,다정고,2020-04-08 12:13:45.353307,20,양지고
182,21,다정고,2020-04-08 12:13:51.458680,20,양지고
183,21,다정고,2020-04-08 12:13:56.748345,20,양지고
184,21,다정고,2020-04-08 12:14:02.039311,20,양지고
185,21,다정고,2020-04-08 12:14:08.386988,20,양지고
186,21,다정고,2020-04-08 12:14:14.387288,20,양지고
187,21,다정고,2020-04-08 12:14:20.387210,20,양지고
188,21,다정고,2020-04-08 12:14:25.848968,20,양지고
189,21,다정고,2020-04-08 12:14:32.486761,20,양지고
190,21,다정고,2020-04-08 12:14:37.802279,20,양지고
191,21,다정고,2020-04-08 12:14:43.111896,20,양지고
192,21,다정고,2020-04-08 12:14:48.425454,20,양지고
193,21,다정고,2020-04-08 12:14:53.790818,20,양지고
194,21,다정고,2020-04-08 12:14:59.092151,20,양지고
195,21,다정고,2020-04-08 12:15:04.383737,20,양지고
196,21,다정고,2020-04-08 12:15:09.677237,20,양지고
197,21,다정고,2020-04-08 12:15:14.960866,20,양지고
198,21,다정고,2020-04-08 12:15:20.246639,20,양지고
199,21,다정고,2020-04-08 12:15:25.537098,20,양지고
200,21,다정고,2020-04-08 12:15:31.556539,20,양지고
201,21,다정고,2020-04-08 12:15:36.842182,20,양지고
202,21,다정고,2020-04-08 12:15:42.115168,20,양지고
203,21,다정고,2020-04-08 12:15:47.398338,20,양지고
204,21,다정고,2020-04-08 12:15:52.681759,20,양지고
205,21,다정고,2020-04-08 12:15:57.977590,20,양지고
206,21,다정고,2020-04-08 12:16:03.396652,20,양지고
207,21,다정고,2020-04-08 12:16:08.672600,20,양지고
208,21,다정고,2020-04-08 12:16:13.958307,20,양지고
209,21,다정고,2020-04-08 12:16:19.265881,20,양지고
210,21,다정고,2020-04-08 12:16:24.558894,20,양지고
211,21,다정고,2020-04-08 12:16:31.388949,20,양지고
212,21,다정고,2020-04-08 12:16:36.683689,20,양지고
213,21,다정고,2020-04-08 12:16:41.975227,20,양지고
214,21,다정고,2020-04-08 12:16:48.462245,20,양지고
215,21,다정고,2020-04-08 12:16:53.753442,20,양지고
216,21,다정고,2020-04-08 12:16:59.040476,20,양지고
217,21,다정고,2020-04-08 12:17:04.319861,20,양지고
218,21,다정고,2020-04-08 12:17:09.582909,20,양지고
219,21,다정고,2020-04-08 12:17:14.853405,20,양지고
220,21,다정고,2020-04-08 12:17:20.217423,20,양지고
221,21,다정고,2020-04-08 12:17:25.493726,20,양지고
222,21,다정고,2020-04-08 12:17:30.770554,20,양지고
223,21,다정고,2020-04-08 12:17:36.254187,20,양지고
224,21,다정고,2020-04-08 12:17:41.527367,20,양지고
225,21,다정고,2020-04-08 12:17:46.810491,20,양지고
226,21,다정고,2020-04-08 12:17:52.095517,20,양지고
227,21,다정고,2020-04-08 12:17:57.399499,20,양지고
228,21,다정고,2020-04-08 12:18:03.429168,20,양지고
229,21,다정고,2020-04-08 12:18:08.723422,20,양지고
230,21,다정고,2020-04-08 12:18:14.005603,20,양지고
231,21,다정고,2020-04-08 12:18:19.285791,20,양지고
232,21,다정고,2020-04-08 12:18:24.570287,20,양지고
233,21,다정고,2020-04-08 12:18:31.399138,20,양지고
234,21,다정고,2020-04-08 12:18:36.682381,20,양지고
235,21,다정고,2020-04-08 12:18:41.983070,20,양지고
236,21,다정고,2020-04-08 12:18:47.816278,20,양지고
237,21,다정고,2020-04-08 12:18:53.113517,20,양지고
238,21,다정고,2020-04-08 12:18:58.397212,20,양지고
239,21,다정고,2020-04-08 12:19:03.707947,20,양지고
240,21,다정고,2020-04-08 12:19:08.993895,20,양지고
241,21,다정고,2020-04-08 12:19:14.265696,20,양지고
242,21,다정고,2020-04-08 12:19:19.701931,20,양지고
243,21,다정고,2020-04-08 12:19:25.093827,20,양지고
244,21,다정고,2020-04-08 12:19:30.378737,20,양지고
245,21,다정고,2020-04-08 12:19:36.393407,20,양지고
246,21,다정고,2020-04-08 12:19:41.699526,20,양지고
247,21,다정고,2020-04-08 12:19:48.073880,20,양지고
248,21,다정고,2020-04-08 12:19:53.404677,20,양지고
249,21,다정고,2020-04-08 12:19:58.690128,20,양지고
250,21,다정고,2020-04-08 12:20:03.974670,20,양지고
251,21,다정고,2020-04-08 12:20:09.255402,20,양지고
252,21,다정고,2020-04-08 12:20:14.532666,20,양지고
253,21,다정고,2020-04-08 12:20:19.830017,20,양지고
254,21,다정고,2020-04-08 12:20:25.107666,20,양지고
255,21,다정고,2020-04-08 12:20:31.426986,20,양지고
256,21,다정고,2020-04-08 12:20:37.264561,20,양지고
257,21,다정고,2020-04-08 12:20:42.582428,20,양지고
258,21,다정고,2020-04-08 12:20:47.865820,20,양지고
259,21,다정고,2020-04-08 12:20:53.145695,20,양지고
